"catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
1,"Annual Stats FY 2025-2026.catalog","Electronic - Count of Electronic Holdings","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,17,42,59,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of Portfolio ID, for reporting electronic holdings counts"
2,"Annual Stats FY 2025-2026.catalog","Electronic - Count of Electronic Titles","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,17,44,25,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of E-Inventory MMS ID, for reporting electronic titles counts"
3,"Annual Stats FY 2025-2026.catalog","test2 UCB physical holdings and titles report (no SLF)","report","report","Final stats reports (for July 1)","Final stats reports (for July 1)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,10,20,52,25,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
4,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCB preparation review reports dashboard","UCB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCB preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,40,1,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
5,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSD preparation review reports dashboard","UCSD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSD preparation review reports dashboard/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,14,17,18,42,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
6,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCR FY 2025-26 annual statistics NZ-level output","UCR FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCR FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,43,19,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
7,"Annual Stats FY 2025-2026.catalog","Electronic - Global Stats Electronic included/excluded designator","saved_column","savedColumnObject","Electronic - Global Stats Electronic included","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included/excluded designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,12,21,23,23,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
8,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCSC FY 2025-26 annual statistics NZ-level output","UCSC FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSC FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,40,54,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
9,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCM FY 2025-26 annual statistics NZ-level output","UCM FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCM FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,38,34,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
10,"Annual Stats FY 2025-2026.catalog","UCB Physical Collection Usage","report","report","Physical Collection Usage","Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,3,23,42,57,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
