"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","rule_kind","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_column_index","definition_catalog_index","definition_name","definition_path"
"RC3-C2-FORMULA","Column","inline","report_inline","""Location"".""Library Name""",1,"formula","""Location"".""Library Name""","Calculated value","","""Location"".""Library Name""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",2,,,
"RC3-C3-FORMULA","Column","inline","report_inline","""Location"".""Library Code""",1,"formula","""Location"".""Library Code""","Calculated value","","""Location"".""Library Code""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",3,,,
"RC3-C4-FORMULA","Column","inline","report_inline","""Location"".""Location Name""",1,"formula","""Location"".""Location Name""","Calculated value","","""Location"".""Location Name""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",4,,,
"RC3-C5-FORMULA","Column","inline","report_inline","""Location"".""Location Code""",1,"formula","""Location"".""Location Code""","Calculated value","","""Location"".""Location Code""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",5,,,
"RC3-C6-FORMULA","Column","inline","report_inline","""Bibliographic Details"".""Resource Type""",1,"formula","""Bibliographic Details"".""Resource Type""","Calculated value","","""Bibliographic Details"".""Resource Type""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",6,,,
"RC3-C7-R1","Column","inline","report_inline","Item Creation Date",1,"when","""Item Creation Date"".""Item Creation Date"" BETWEEN date '2025-07-01' AND date '2026-06-30'","Added FY 2025-26","","""Item Creation Date"".""Item Creation Date""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",7,,,
"RC3-C7-R2","Column","inline","report_inline","Item Creation Date",2,"when","""Item Creation Date"".""Item Creation Date"" >= date '2026-07-01'","Added FY 2026-27","","""Item Creation Date"".""Item Creation Date""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",7,,,
"RC3-C7-OTHER","Column","inline","report_inline","Item Creation Date",3,"otherwise","All other values","Added prior to FY 2025-26","","""Item Creation Date"".""Item Creation Date""",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",7,,,
"RC3-C8-FORMULA","Column","inline","report_inline","Holdings",1,"formula","COUNT(DISTINCT ""Physical Item Details"".""Physical Item Id"")","Holdings","","COUNT(DISTINCT ""Physical Item Details"".""Physical Item Id"")",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",8,,,
"RC3-C9-FORMULA","Column","inline","report_inline","Titles",1,"formula","COUNT(DISTINCT ""Bibliographic Details"".""MMS ID"")","Titles","","COUNT(DISTINCT ""Bibliographic Details"".""MMS ID"")",,,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",9,,,
"RC10-C3-FORMULA","Column","inline","report_inline","""Item Location at Time of Loan"".""Library Name""",1,"formula","""Item Location at Time of Loan"".""Library Name""","Calculated value","","""Item Location at Time of Loan"".""Library Name""",,,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",3,,,
"RC10-C4-FORMULA","Column","inline","report_inline","""Item Location at Time of Loan"".""Library Code""",1,"formula","""Item Location at Time of Loan"".""Library Code""","Calculated value","","""Item Location at Time of Loan"".""Library Code""",,,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",4,,,
