"filter_object_index","catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
1,226,"annual_stats_fy_2025_2026.catalog","Fulfillment - FY 2025-26 Loans","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans","filteritem1","Fulfillment","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,13,21,45,41,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
2,264,"annual_stats_fy_2025_2026.catalog","Physical - Global stats physical filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,1,27,0,10,39,"22.4.0.0.4 (Build BIPS-20250811150234.74 )",
3,267,"annual_stats_fy_2025_2026.catalog","Physical - SLF-N FY 2026 accessions","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF-N FY 2026 accessions","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",,4,2026,6,30,19,29,16,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
4,268,"annual_stats_fy_2025_2026.catalog","Physical - SLF-S FY 2026 accessions","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF-S FY 2026 accessions","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,7,1,22,47,49,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
5,271,"annual_stats_fy_2025_2026.catalog","Physical - UCB Physical Filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Physical Filters","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,1,13,1,13,59,"22.4.0.0.4 (Build BIPS-20250811150234.74 )",
6,272,"annual_stats_fy_2025_2026.catalog","Physical - UCB SCA exclusions","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB SCA exclusions","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,2,19,0,37,43,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","UC Berkeley criteria for identifying special collections and archives materials that will be reported as non-ILS data (excluded from NZ reporting so they aren't double-counted)"
7,275,"annual_stats_fy_2025_2026.catalog","Physical - UCD Physical Filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCD Physical Filters","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,12,21,15,5,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
8,278,"annual_stats_fy_2025_2026.catalog","Physical - UCI Physical Filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCI Physical Filters","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,3,15,28,1,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","SCA exclusions handled in a separate filter"
9,279,"annual_stats_fy_2025_2026.catalog","Physical - UCI SCA Exclusions","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCI SCA Exclusions","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,7,1,6,4,59,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",
10,282,"annual_stats_fy_2025_2026.catalog","Physical - UCLA Physical Filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCLA Physical Filters","filteritem1","Physical Items","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,12,21,49,48,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","SCA exclusions handled in a separate filter"
11,283,"annual_stats_fy_2025_2026.catalog","Physical - UCLA SCA Exclusions","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCLA SCA Exclusions","filteritem1","Physical Items","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,25,22,53,11,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
12,288,"annual_stats_fy_2025_2026.catalog","Physical - UCR Physical Filters","filter","savedFilterObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCR Physical Filters","filteritem1","Physical Items","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,3,18,17,35,48,"22.4.0.0.4 (Build BIPS-20250811150234.74 )",
