"rule_name","criterion_text","review_label","explanation","criterion_text_category","rule_id","rule_type","source_workbook","join_operator","value_count"
"Fulfillment - FY 2025-26 Loans","""Loan Date"".""Loan Date"" BETWEEN 2025-07-01 AND 2026-06-30","","",,"F1-C1","Filter","Filter Review","",0
"Physical - Global stats physical filters","""Physical Item Details"".""Lifecycle"" = 'Active'","","",,"F2-C2","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Bibliographic Details"".""Resource Type"" IS NOT NULL","","",,"F2-C3","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Library Code (Active)"" IS NOT NULL","","",,"F2-C4","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Library Code"" <> 'RES_SHARE'","","",,"F2-C5","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Library Code"" NOT LIKE '%equip%'","","",,"F2-C6","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Library Name"" NOT LIKE '%equip%'","","",,"F2-C7","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Location Code"" <> 'UNASSIGNED'","","",,"F2-C8","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Location Code"" NOT LIKE '%equip%'","","",,"F2-C9","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Location Name"" NOT LIKE '%ithdraw%'","","",,"F2-C10","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Location Name"" NOT LIKE '%equip%'","","",,"F2-C11","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Physical Item Details"".""Physical Item Id"" NOT IN ('-1', '0')","","",,"F2-C12","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Physical Item Details"".""Item Policy"" NOT LIKE '%equip%'","","",,"F2-C13","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Holdings Details"".""Suppressed from Discovery"" = 0","","",,"F2-C14","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Holdings Details"".""Suppressed from Discovery by Suppressed Location"" = 'No'","","",,"F2-C15","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Location"".""Suppressed from Discovery"" = 'No'","","",,"F2-C16","Filter","Filter Review","AND",0
"Physical - Global stats physical filters","""Bibliographic Details"".""Suppressed From Discovery"" = 'No'","","",,"F2-C17","Filter","Filter Review","AND",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Lifecycle"" = 'Active'","","",,"F3-C18","Filter","Filter Review","AND",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN '$D 130 631' AND '$D 130 999'","","",,"F3-C19","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN '$D 131 000' AND '$D 131 999'","","",,"F3-C20","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN '$D 132 000' AND '$D 132 991'","","",,"F3-C21","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'A 2 539 991' AND 'A 2 540 384'","","",,"F3-C22","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'CT 5 031 021' AND 'CT 5 044 752'","","",,"F3-C23","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'CT 5 045 001' AND 'CT 5 045 100'","","",,"F3-C24","Filter","Filter Review","OR",0
