"item_name","filter_index","parent_index","depth","node_type","logical_operator","criteria","subject_area","original_path","catalog_index"
"Fulfillment - FY 2025-26 Loans",1,NA,1,"sawx:comparison","between","""Loan Date"".""Loan Date"" BETWEEN 2025-07-01 AND 2026-06-30","""Fulfillment""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",1
"Fulfillment - FY 2025-26 Loans",2,1,2,"sawx:sqlExpression",NA,"""Loan Date"".""Loan Date""","""Fulfillment""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",1
"Fulfillment - FY 2025-26 Loans",3,1,2,"xsd:date",NA,"2025-07-01","""Fulfillment""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",1
"Fulfillment - FY 2025-26 Loans",4,1,2,"xsd:date",NA,"2026-06-30","""Fulfillment""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",1
"Physical - Global stats physical filters",1,NA,1,"sawx:logical","and","(""Physical Item Details"".""Lifecycle"" = 'Active' AND ""Bibliographic Details"".""Resource Type"" IS NOT NULL AND ""Location"".""Library Code (Active)"" IS NOT NULL AND ""Location"".""Library Code"" <> 'RES_SHARE' AND ""Location"".""Library Code"" NOT LIKE '%equip%' AND ""Location"".""Library Name"" NOT LIKE '%equip%' AND ""Location"".""Location Code"" <> 'UNASSIGNED' AND ""Location"".""Location Code"" NOT LIKE '%equip%' AND ""Location"".""Location Name"" NOT LIKE '%ithdraw%' AND ""Location"".""Location Name"" NOT LIKE '%equip%' AND ""Physical Item Details"".""Physical Item Id"" NOT IN ('-1', '0') AND ""Physical Item Details"".""Item Policy"" NOT LIKE '%equip%' AND ""Holdings Details"".""Suppressed from Discovery"" = 0 AND ""Holdings Details"".""Suppressed from Discovery by Suppressed Location"" = 'No' AND ""Location"".""Suppressed from Discovery"" = 'No' AND ""Bibliographic Details"".""Suppressed From Discovery"" = 'No')","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
"Physical - Global stats physical filters",2,1,2,"sawx:sql",NA,"""Physical Item Details"".""Lifecycle"" = 'Active'","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
"Physical - Global stats physical filters",3,1,2,"sawx:sql",NA,"""Bibliographic Details"".""Resource Type"" IS NOT NULL","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
"Physical - Global stats physical filters",4,1,2,"sawx:sql",NA,"""Location"".""Library Code (Active)"" IS NOT NULL","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
"Physical - Global stats physical filters",5,1,2,"sawx:sql",NA,"""Location"".""Library Code"" <> 'RES_SHARE'","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
"Physical - Global stats physical filters",6,1,2,"sawx:sql",NA,"""Location"".""Library Code"" NOT LIKE '%equip%'","""Physical Items""","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",2
