"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_filter_index","definition_catalog_index","definition_name","definition_path"
"RF3-R1","Filter","inline","report_inline","test2 UCB physical holdings and titles report (no SLF)",1,"""Institution"".""Institution Name"" = 6532","","",,"and",1,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",1,,,
"RF3-R2","Filter","inline","report_inline","test2 UCB physical holdings and titles report (no SLF)",2,"""Location"".""Library Code"" <> 'NRLF'","","",,"and",1,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",2,,,
"RF3-R6","Filter","inline","report_inline","test2 UCB physical holdings and titles report (no SLF)",6,"""Item Creation Date"".""Item Creation Date"" IN ('Added FY 2025-26', 'Added prior to FY 2025-26')","","",,"and",2,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",6,,,
"RF10-R1","Filter","inline","report_inline","UCB Physical Collection Usage",1,"""Institution"".""Institution Name"" = 6532","","",,"and",1,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",1,,,
"RF10-R3","Filter","inline","report_inline","UCB Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",3,,,
"RF16-R1","Filter","inline","report_inline","UCB Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,16,"UCB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",1,,,
"RF16-R2","Filter","inline","report_inline","UCB Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCB')","","",,"and",3,16,"UCB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",2,,,
"RF17-R1","Filter","inline","report_inline","SLF Physical Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,17,"SLF Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",1,,,
"RF17-R2","Filter","inline","report_inline","SLF Physical Holdings and Titles Report",2,"""Location"".""Library Code"" IN ('NRLF', 'SRLF')","","",,"and",2,17,"SLF Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",2,,,
"RF23-R1","Filter","inline","report_inline","UCB Library categorization report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,23,"UCB Library categorization report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",1,,,
