"filter_record_id","record_scope","report_catalog_index","report_title","report_subject_area","report_path","filter_index","group_path","nesting_level","join_operator","filter_source","expression_type","operator","field","filter_text","value_count","value_preview","definition_catalog_index","definition_name","definition_path","rule_count","is_resolved","is_referenced"
"F1","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6532",1,"6532",,,,1,,
"F2","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",2,"1.2",2,"and","inline","comparison","notEqual","""Location"".""Library Code""","""Location"".""Library Code"" <> 'NRLF'",1,"NRLF",,,,1,,
"F3","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters",,,,"Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,FALSE,
"F4","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB Physical Filters - locations and stats note 2 only",,,,"UCB Physical Filters - locations and stats note 2 only","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Physical Filters - locations and stats note 2 only",,FALSE,
"F5","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB SCA exclusions",,,,"UCB SCA exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SCA exclusions",,FALSE,
"F6","report_filter",3,"test2 UCB physical holdings and titles report (no SLF)","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)",6,"1.6",2,"and","inline","list","in","""Item Creation Date"".""Item Creation Date""","""Item Creation Date"".""Item Creation Date"" IN ('Added FY 2025-26', 'Added prior to FY 2025-26')",2,"Added FY 2025-26 | Added prior to FY 2025-26",,,,1,,
"F7","report_filter",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6532",1,"6532",,,,1,,
"F8","report_filter",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans",,,226,"Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",1,TRUE,
"F9","report_filter",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",1,"0",,,,1,,
"F10","report_filter",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533)",2,"6532 | 6533",,,,1,,
"F11","report_filter",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCB')",3,"SLF-N | SLF-S | UCB",,,,1,,
"F12","report_filter",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters",,,,"Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,FALSE,
"F13","report_filter",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB Physical Filters",,,,"UCB Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Physical Filters",,FALSE,
"F14","report_filter",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB SCA exclusions",,,,"UCB SCA exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SCA exclusions",,FALSE,
"F15","report_filter",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533)",2,"6532 | 6533",,,,1,,
"F16","report_filter",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Location"".""Library Code""","""Location"".""Library Code"" IN ('NRLF', 'SRLF')",2,"NRLF | SRLF",,,,1,,
"F17","report_filter",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Physical - Global stats physical filters",,,264,"Physical - Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",16,TRUE,
"F18","report_filter",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: Physical - UCB Physical Filters",,,271,"Physical - UCB Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Physical Filters",11,TRUE,
"F19","report_filter",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533)",2,"6532 | 6533",,,,1,,
"F20","report_filter",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCB')",3,"SLF-N | SLF-S | UCB",,,,1,,
"F21","report_filter",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters",,,,"Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,FALSE,
"F22","report_filter",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB Physical Filters",,,,"UCB Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Physical Filters",,FALSE,
