"dependency_index","report_catalog_index","report_title","report_path","dependency_type","dependency_name","dependency_path","resolved_catalog_index","resolved_object_title","resolved_object_kind","is_resolved"
1,3,"test2 UCB physical holdings and titles report (no SLF)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/test2 UCB physical holdings and titles report (no SLF)","saved_column","UCB Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Library Stats Category",,,,FALSE
2,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Fulfillment - Fulfillment Institution","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Fulfillment Institution",224,"Fulfillment - Fulfillment Institution","saved_column",TRUE
3,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Physical - UCB Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Library Stats Category",270,"Physical - UCB Library Stats Category","saved_column",TRUE
4,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Fulfillment - UCB Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB Check-Out Type",233,"Fulfillment - UCB Check-Out Type","saved_column",TRUE
5,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Fulfillment - Alma User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group",222,"Fulfillment - Alma User Group","saved_column",TRUE
6,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Fulfillment - UCB User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB User Group",235,"Fulfillment - UCB User Group","saved_column",TRUE
7,10,"UCB Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage","saved_column","Fulfillment - FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)",229,"Fulfillment - FY 2025-26 Loans (Not In House)","saved_column",TRUE
8,16,"UCB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report","saved_column","Campus designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SLF\/Campus designator",,,,FALSE
9,16,"UCB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report","saved_column","RM Building - UCB","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/RM Building - UCB",305,"RM Building - UCB","saved_column",TRUE
10,16,"UCB Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report","saved_column","Count of Physical Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",,,,FALSE
