"saved_column_object_index","catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
1,1,"annual_stats_fy_2025_2026.catalog","Electronic - Count of Electronic Holdings","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,17,42,59,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of Portfolio ID, for reporting electronic holdings counts"
2,2,"annual_stats_fy_2025_2026.catalog","Electronic - Count of Electronic Titles","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,17,44,25,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","COUNT(DISTINCT) of E-Inventory MMS ID, for reporting electronic titles counts"
3,7,"annual_stats_fy_2025_2026.catalog","Electronic - Global Stats Electronic included/excluded designator","saved_column","savedColumnObject","Electronic - Global Stats Electronic included","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included/excluded designator","cosavedcolumn1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,12,21,23,23,"22.4.0.0.4 (Build BIPS-20260309180128.86 )",""
4,24,"annual_stats_fy_2025_2026.catalog","Electronic - Global Stats Electronic Library Categories","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories","cosavedcolumn1",,"HE_24764427990006531_6531_D_na07.alma.exlibrisgroup.com","HE_24764427990006531_6531_D_na07.alma.exlibrisgroup.com",4,2024,6,18,5,36,44,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
5,57,"annual_stats_fy_2025_2026.catalog","Electronic - UCB eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCB eResources Managed By designator","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,21,42,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
6,100,"annual_stats_fy_2025_2026.catalog","Electronic - UCD eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCD eResources Managed By designator","cosavedcolumn1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,36,0,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
7,114,"annual_stats_fy_2025_2026.catalog","Electronic - UCI eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCI eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,34,34,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
8,143,"annual_stats_fy_2025_2026.catalog","Electronic - UCLA eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCLA eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,29,21,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
9,165,"annual_stats_fy_2025_2026.catalog","Electronic - UCM eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCM eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,37,3,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
10,179,"annual_stats_fy_2025_2026.catalog","Electronic - UCR eResources Managed By designator","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCR eResources Managed By designator","cosavedcolumn1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,20,22,39,35,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
