"saved_column_name","rule_id","bin_criterion","bin_label","explanation","base_formula"
"Electronic - Count of Electronic Holdings","SC1-FORMULA","COUNT(DISTINCT ""Portfolio"".""Portfolio Id"")","Holdings","","COUNT(DISTINCT ""Portfolio"".""Portfolio Id"")"
"Electronic - Count of Electronic Titles","SC2-FORMULA","COUNT(DISTINCT ""Bibliographic Details"".""MMS Id"")","Titles","","COUNT(DISTINCT ""Bibliographic Details"".""MMS Id"")"
"Electronic - Global Stats Electronic included/excluded designator","SC3-R1","""Bibliographic Details"".""Title"" IS NULL","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R2","""Bibliographic Details"".""Title"" = ' '","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R3","""Bibliographic Details"".""Title"" = ''","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R4","""Bibliographic Details"".""MMS Id"" <= '0'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R5","""Portfolio"".""Portfolio Id"" <= '0'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R6","""Bibliographic Details"".""Suppressed From Discovery"" NOT IN ('NULL', 'No')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R7","""Portfolio"".""Lifecycle"" <> 'In Repository'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R8","""Portfolio"".""Availability"" <> 'Available'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R9","""Bibliographic Details"".""Resource Type"" IN ('NULL', 'Unknown')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R10","""Electronic Collection"".""Electronic Collection Public Name (override)"" = 'JSTOR Books DDA' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R11","""Electronic Collection"".""Electronic Collection Interface Name"" LIKE '%Airiti%' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R12","""Electronic Collection"".""Electronic Collection Interface Name"" LIKE '%CNPeReading%' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R13","""Electronic Collection"".""Electronic Collection Public Name"" = 'DOAB Directory of Open Access Books' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R14","""Electronic Collection"".""Electronic Collection Public Name"" LIKE '%Kanopy%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R15","""Electronic Collection"".""Electronic Collection Public Name"" IN ('Swank Motion Pictures Trial', 'Trial Feedback Form') OR ""Electronic Collection"".""Electronic Collection Public Name (override)"" = 'Japan Times Digital Archive, 1897-2018 TRIAL'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R16","DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6534 AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R17","DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6535 AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R18","DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 4876 AND ""E-inventory"".""Portfolio"".""Purchase Model"" = 'DDA Candidate' AND ""E-inventory"".""Electronic Collection"".""Electronic Collection Public Name"" = 'Ebook Central Perpetual, DDA and Subscription Titles'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R19","""Electronic Collection"".""Electronic Collection Public Name"" = 'Ebook Central Perpetual, DDA and Subscription Titles' AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R20","""Portfolio Library Unit"".""Library Name"" LIKE 'X_Do_Not_Use_%'","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
"Electronic - Global Stats Electronic included/excluded designator","SC3-R21","""Electronic Collection"".""Electronic Collection Public Name"" IN ('R2 Digital Library PDA Discoverable Titles')","Excluded","","""Electronic Collection"".""Electronic Collection Interface Name"""
