"saved_column_object_index","catalog_index","saved_column_index","object_title","subject_area","original_path","column_caption","column_id","column_path","data_type","formula"
1,1,1,"Electronic - Count of Electronic Holdings",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings","Portfolio",,,"saw:regularColumn","COUNT(DISTINCT ""Portfolio"".""Portfolio Id"")"
2,2,1,"Electronic - Count of Electronic Titles",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles","Bibliographic Details",,,"saw:regularColumn","COUNT(DISTINCT ""Bibliographic Details"".""MMS Id"")"
3,7,1,"Electronic - Global Stats Electronic included/excluded designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included/excluded designator","Electronic Collection",,,"saw:regularColumn","""Electronic Collection"".""Electronic Collection Interface Name""""Bibliographic Details"".""Title"" IS NULLExcluded""Bibliographic Details"".""Title"" = ' 'Excluded""Bibliographic Details"".""Title"" = ''Excluded""Bibliographic Details"".""MMS Id"" <= '0'Excluded""Portfolio"".""Portfolio Id"" <= '0'Excluded""Bibliographic Details"".""Suppressed From Discovery"" NOT IN ('NULL', 'No')Excluded""Portfolio"".""Lifecycle"" <> 'In Repository'Excluded""Portfolio"".""Availability"" <> 'Available'Excluded""Bibliographic Details"".""Resource Type"" IN ('NULL', 'Unknown')Excluded""Electronic Collection"".""Electronic Collection Public Name (override)"" = 'JSTOR Books DDA' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531Excluded""Electronic Collection"".""Electronic Collection Interface Name"" LIKE '%Airiti%' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531Excluded""Electronic Collection"".""Electronic Collection Interface Name"" LIKE '%CNPeReading%' AND ""Bibliographic Details"".""Local Param 01"" LIKE '%CDL%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531Excluded""Electronic Collection"".""Electronic Collection Public Name"" = 'DOAB Directory of Open Access Books' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531Excluded""Electronic Collection"".""Electronic Collection Public Name"" LIKE '%Kanopy%' AND DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531Excluded""Electronic Collection"".""Electronic Collection Public Name"" IN ('Swank Motion Pictures Trial', 'Trial Feedback Form') OR ""Electronic Collection"".""Electronic Collection Public Name (override)"" = 'Japan Times Digital Archive, 1897-2018 TRIAL'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6534 AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6535 AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 4876 AND ""E-inventory"".""Portfolio"".""Purchase Model"" = 'DDA Candidate' AND ""E-inventory"".""Electronic Collection"".""Electronic Collection Public Name"" = 'Ebook Central Perpetual, DDA and Subscription Titles'Excluded""Electronic Collection"".""Electronic Collection Public Name"" = 'Ebook Central Perpetual, DDA and Subscription Titles' AND ""Portfolio"".""Purchase Model"" LIKE ('%DDA%Candidate%')Excluded""Portfolio Library Unit"".""Library Name"" LIKE 'X_Do_Not_Use_%'Excluded""Electronic Collection"".""Electronic Collection Public Name"" IN ('R2 Digital Library PDA Discoverable Titles')ExcludedDESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 3126 AND ""Electronic Collection"".""Electronic Collection Public Name"" = 'Palace App (read this ebook on your phone or tablet)_LOCAL'ExcludedDESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6531 AND ""Electronic Collection"".""Electronic Collection Public Name"" = 'Read via the Palace Project ebook pilot!'ExcludedDESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4706 AND ""Electronic Collection"".""Electronic Collection Public Name"" = 'E-Book Discovery'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6535 AND ""Electronic Collection"".""Electronic Collection Public Name"" IN ('EBSCO (UCSD). eBook Collection DDA online monographs.', 'JSTOR DDA online monographs (UCSD).')ExcludedDESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Electronic Collection"".""Electronic Collection Public Name"" IN ('R2 Digital Library DDA', 'EBL online monographs', 'Taylor & Francis online monographs (EBS)')ExcludedDESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND (""Electronic Collection"".""Electronic Collection Public Name"" = 'Ebook Central Perpetual, DDA and Subscription Titles' AND ""Portfolio"".""Purchase Model"" = 'DDA Candidate')ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 4876 AND ""Electronic Collection"".""Electronic Collection Id"" = '61459105900004876'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 4876 AND ""Electronic Collection"".""Electronic Collection Public Name"" = 'EBSCO DDA Titles'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6535 AND ""Electronic Collection"".""Electronic Collection Public Name"" = 'Kanopy DDA online videos (UCSD).'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6535 AND ""Electronic Collection"".""Electronic Collection Id"" = '61231639680006535'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6532 AND ""Electronic Collection"".""Electronic Collection Id"" = '611126508330006532'ExcludedDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 4706 AND ""Electronic Collection"".""Electronic Collection Id"" = '61440950170004706'ExcludedIncluded"
4,24,1,"Electronic - Global Stats Electronic Library Categories",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories","UCOP Stats",,,"saw:regularColumn","""Portfolio Library Unit"".""Library Name""LOWER(""Portfolio Library Unit"".""Library Name"") LIKE '%law%'LawLOWER(""Portfolio Library Unit"".""Library Name"") LIKE '%med%'Health SciencesDESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6536Health Sciences""Portfolio Library Unit"".""Library Name""X_Do_Not_Use_ExcludeGeneral"
5,57,1,"Electronic - UCB eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCB eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""6532Managed by UCB""Portfolio"".""Available For Group"" LIKE '%UCB%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
6,100,1,"Electronic - UCD eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCD eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""3126Managed by UCD""Portfolio"".""Available For Group"" LIKE '%UCD%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
7,114,1,"Electronic - UCI eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCI eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""4701Managed by UCI""Portfolio"".""Available For Group"" LIKE '%UCI%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
8,143,1,"Electronic - UCLA eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCLA eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""6533Managed by UCLA""Portfolio"".""Available For Group"" LIKE '%UCLA%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
9,165,1,"Electronic - UCM eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCM eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""6534Managed by UCM""Portfolio"".""Available For Group"" LIKE '%UCM%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
10,179,1,"Electronic - UCR eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCR eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""4706Managed by UCR""Portfolio"".""Available For Group"" LIKE '%UCR%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
11,195,1,"Electronic - UCSB eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSB eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""3776Managed by UCSB""Portfolio"".""Available For Group"" LIKE '%UCSB%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
12,200,1,"Electronic - UCSC eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSC eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""4876Managed by UCSC""Portfolio"".""Available For Group"" LIKE '%UCSC%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
13,209,1,"Electronic - UCSD eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCSD eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""6535Managed by UCSD""Portfolio"".""Available For Group"" LIKE '%UCSD%'Managed by CDL""Portfolio"".""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
14,218,1,"Electronic UCSF eResources Managed By designator",,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic UCSF eResources Managed By designator","Institution",,,"saw:regularColumn","""Institution"".""Institution Name""""Institution"".""Institution Name""6536Managed by UCSFPortfolio.""Available For Group"" LIKE '%UCSF%'Managed by CDLPortfolio.""Available For Group"" IS NULL AND DESCRIPTOR_IDOF(""E-Inventory"".""Institution"".""Institution Name"") = 6531Managed by CDLAvailable at a different campus"
